web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category
https://www.ibdb.com/broadway-production/on-your-toes-12114,On Your Toes,,Lorenz Hart,"Richard Rodgers,George AbbottandLorenz Hart",Dwight Deere Wiman,"Apr 11, 1936","Apr 11, 1936","Jan 23, 1937",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/iolanthe-12113,Iolanthe,,Sir Arthur Sullivan,W. S. Gilbert,S.M. Chartock,"May 04, 1936","May 04, 1936","May 09, 1936",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/trial-by-jury-12111,Trial by Jury,,Sir Arthur Sullivan,W. S. Gilbert,S.M. Chartock,"Apr 27, 1936","Apr 27, 1936",May 1936,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/hms-pinafore-12112,H.M.S. Pinafore,,Sir Arthur Sullivan,W. S. Gilbert,S.M. Chartock,"Apr 27, 1936","Apr 27, 1936",May 1936,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-pirates-of-penzance-12110,The Pirates of Penzance,,Sir Arthur Sullivan,W. S. Gilbert,S.M. Chartock,"Apr 20, 1936","Apr 20, 1936",Apr 1936,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-mikado-12109,The Mikado,,Sir Arthur Sullivan,W. S. Gilbert,S.M. Chartock,"Apr 10, 1936","Apr 10, 1936",May 1936,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/at-home-abroad-11985,At Home Abroad,,Howard Dietz,Howard Dietz,Messrs. Shubert (Lee and J. J.),"Sep 19, 1935","Sep 19, 1935","Mar 07, 1936",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/want-ads-481026,Want Ads,,Paul SchoopandHuldreich Fruh,Trudi Schoop,S. Hurok,Dec 1935,Dec 1935,Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/fridolin-on-the-road-481543,Fridolin On the Road,Trudi Schoop,Paul Schoop,,S. Hurok,Dec 1935,Dec 1935,Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/earl-carrolls-sketch-book-1935-11966,Earl Carroll's Sketch Book [1935],Earl Carroll,"Charles Tobias,Murray Mencher,Charles Newman,Norman ZenoandWill Irwin","Eugene Conrad,Charles ShermanandRoyal Foster",Earl Carroll,"Jun 04, 1935","Jun 04, 1935","Nov 30, 1935",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-land-of-bells-452708,The Land of Bells,Edison Rice,Carlo Lombardo,Carlo Lombardo,The Permanent Italian Theatre,"May 09, 1935","May 09, 1935","May 12, 1935",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/auroras-wedding-9715,Aurora's Wedding,,Peter Ilyich Tchaikovsky,,S. HurokandThe Ballet Russe,"Mar 20, 1935","Mar 20, 1935",Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/public-gardens-9716,Public Gardens,,Vladimir Dukelsky,,S. HurokandThe Ballet Russe,"Mar 20, 1935","Mar 20, 1935",Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/three-cornered-hat-9717,Three Cornered Hat,,Manuel De Falla,,S. HurokandThe Ballet Russe,"Mar 20, 1935","Mar 20, 1935",Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/petrouchka-9718,Petrouchka,,Igor Stravinsky,,S. HurokandThe Ballet Russe,"Mar 20, 1935","Mar 20, 1935",Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/union-pacific-9719,Union Pacific,,Nicolas Nabokoff,Archibald MacLeish,S. HurokandThe Ballet Russe,"Mar 20, 1935","Mar 20, 1935",Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/firebird-11560,Firebird,,Igor Stravinsky,,S. HurokandThe Ballet Russe,"Mar 20, 1935","Mar 20, 1935",Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/boutique-fantasque-11561,Boutique Fantasque,,Gioacchino Rossini,,S. HurokandThe Ballet Russe,"Mar 20, 1935","Mar 20, 1935",Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/bal-11562,Bal,,Vittorio Rieti,Boris Kochno,S. HurokandThe Ballet Russe,"Mar 20, 1935","Mar 20, 1935",Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/revisor-11945,Revisor,,,Nikolai Vassilievitch Gogol,S. HurokandThe Moscow Art Players,"Feb 16, 1935","Feb 16, 1935",Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/poverty-is-no-crime-11946,Poverty Is No Crime,,,Alexander Nikolaievitch Ostrovsky,S. HurokandThe Moscow Art Players,Feb 1935,Feb 1935,Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/strange-child-11947,Strange Child,,,Vasily Shkvarkin,S. HurokandThe Moscow Art Players,Feb 1935,Feb 1935,Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/marriage-11948,Marriage,,,Nikolai Vassilievitch Gogol,S. HurokandThe Moscow Art Players,Feb 1935,Feb 1935,Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-white-guard-11949,The White Guard,,,Mikhael Bulgakov,S. HurokandThe Moscow Art Players,Feb 1935,Feb 1935,Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-deluge-11950,The Deluge,,,Henning Berger,S. HurokandThe Moscow Art Players,Feb 1935,Feb 1935,Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/i-forgot-11951,I Forgot,,,Anton Chekhov,S. HurokandThe Moscow Art Players,Feb 1935,Feb 1935,Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/enemies-11952,Enemies,,,B. Lavrenoff,S. HurokandThe Moscow Art Players,Feb 1935,Feb 1935,Closing date unknown,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/music-hath-charms-11198,Music Hath Charms,George Rosener,"Rowland Leigh,George RosenerandJohn Shubert","Rowland Leigh,George RosenerandJohn Shubert",Messrs. Shubert (Lee and J. J.),"Dec 29, 1934","Dec 29, 1934","Jan 19, 1935",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/iolanthe-11869,Iolanthe,Lee Daly,Sir Arthur Sullivan,,S.M. Chartock,"Apr 30, 1934","Apr 30, 1934",May 1934,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/trial-by-jury-hms-pinafore-11861,Trial by Jury & H.M.S. Pinafore,,,,,,,,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-pirates-of-penzance-11862,The Pirates of Penzance,Lee Daly,Sir Arthur Sullivan,,S.M. Chartock,"Apr 09, 1934","Apr 09, 1934","May 12, 1934",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-mikado-11857,The Mikado,Lee Daly,Sir Arthur Sullivan,,S.M. Chartock,"Apr 02, 1934","Apr 02, 1934","May 26, 1934",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/murder-at-the-vanities-11753,Murder at the Vanities,,Edward Heyman,Earl CarrollandRufus King,Earl Carroll,"Sep 12, 1933","Sep 12, 1933","Mar 10, 1934",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-yeomen-of-the-guard-7917,The Yeomen of the Guard,,Sir Arthur Sullivan,,The Civic Light Opera Company,"Aug 14, 1933","Aug 14, 1933","Aug 19, 1933",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-pirates-of-penzance-7916,The Pirates of Penzance,,Sir Arthur Sullivan,,Milton Aborn,"Aug 07, 1933","Aug 07, 1933","Aug 12, 1933",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-bohemian-girl-7913,The Bohemian Girl,,Michael Balfe,,Milton Aborn,"Jul 27, 1933","Jul 27, 1933","Aug 05, 1933",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/strike-me-pink-11731,Strike Me Pink,,Lew Brown,,"Ray Henderson,Lew BrownandWaxey Gordon","Mar 04, 1933","Mar 04, 1933","Jun 10, 1933",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/pardon-my-english-11182,Pardon My English,,Ira Gershwin,Herbert Fields,Alex. A. AaronsandVinton Freedley,"Jan 20, 1933","Jan 20, 1933","Feb 25, 1933",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-round-up-11508,The Round Up,,,Edmund Day,Card ReedandA. Wichfeld,"Mar 07, 1932","Mar 07, 1932",Mar 1932,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/simple-simon-11336,Simple Simon,Seymour Hicks,Lorenz Hart,Ed WynnandGuy Bolton,Ed Wynn,"Mar 09, 1931","Mar 09, 1931","Mar 21, 1931",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-student-prince-11313,The Student Prince,,Dorothy Donnelly,Dorothy Donnelly,Messrs. Shubert (Lee and J. J.),"Jan 29, 1931","Jan 29, 1931",Mar 1931,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/nina-rosa-9439,Nina Rosa,J. C. Huffman,Irving Caesar,Otto Harbach,Messrs. Shubert (Lee and J. J.),"Sep 20, 1930","Sep 20, 1930","Jan 17, 1931",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/artists-and-models-1930-11127,Artists and Models [1930],Frank SmithsonandPal'mere Brandeaux,Harold SternandErnie Golden,,Messrs. Shubert (Lee and J. J.),"Jun 10, 1930","Jun 10, 1930",Jul 1930,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-international-revue-11061,The International Revue,Lew LeslieandE.C. Lilley,Dorothy FieldsandJimmy McHugh,Nat N. DorfmanandLew Leslie,Lew Leslie,"Feb 25, 1930","Feb 25, 1930","May 17, 1930",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/a-wonderful-night-9820,A Wonderful Night,José Ruben,Johann Strauss,Fanny Todd Mitchell,Messrs. Shubert (Lee and J. J.),"Oct 31, 1929","Oct 31, 1929","Feb 15, 1930",2025-06-26,Creative Team and Performance Data
